group1,group2,channel,description
4 Fermion,,4QEX202CRNOREC,"Extended Short DST simulation 99_a1 200 , CERN"
4 Fermion,,4QEX202CRSTD,"Extended Short DST simulation 98_d2 189 , KARL"
2 Fermion,,APACIC105,"Short DST simulation 93d  done at ecm=91.25 GeV , WUPP"
2 Fermion,,ARIA,"XShortDST zgqq generator with tuned ARIADNE, Pythia 6.131    KARL; "
2 Fermion,,BABA,LongDST Bhabha (barrel only); Sim. of 93 (gas) ANA93C Fix 1; BASTA
2 Fermion,,BAFO,LongDST Bhabha (barrel+forw); Sim. of 95(liq) ANA95C Fix 2  ; BAST
4 Fermion,,BBBB,XShortDST e+ e- --> ZZ -> bbbb PYTHIA6.131 DELPHI Mar 95 tune RAL; 
2 Fermion,,BBDS,ShortDST bbbar -> D*+' X -> D*+ pi+pi- X->(K-pi+)pi+pi+pi- X; BAST
2 Fermion,,BBDT,ShortDST bbbar -> D*+' X -> D*+ pi+pi- X->(K3pi)pi+ pi+pi- X; BAST
4 Fermion,,BBEE,e+e- -> eebb EXCALIBUR 2.01 (PYTHIA 6.125 ch.11110505        SNAK; 
2 Fermion,,BBEL,ShortDST BBbar -> el + X          ; Sim of 91 ANA91F Fix 1 ; BASTA
2 Fermion,,BBKZ,XShortDST Z0 --> bbbar  with Koralz  ; Sim. 97 ANA97A Fix 1 ; RUTH 
2 Fermion,,BBMM,e+e- -> EXCALIBUR 2.01 (PYTHIA 6.125) chan. 13130505         SNAK; 
2 Fermion,,BBMU,ShortDST BBbar -> mu + X          ; Sim of 91 ANA91F Fix 1 ; BASTA
2 Fermion,,BBPS,ShortDST BBbar (b life 1.6); Sim. of 92 (gas) ANA92D Fix 2 ; BASTA
2 Fermion,,BBPY,"LongDST Z0Gamma, Z0-->bbbar;        Sim. of 96 ANA96E Fix 1 ; BAST"
2 Fermion,,BBQQ,XShortDST e+e- -> bbbar qqbar        ; Sim. 97 ANA97A Fix 1 ; RUTH
2 Fermion,,BBSA,B0s decays --> Ds+ 1nu X with Ds+-->phi pi; phi-->K+ K-     ; BAST
2 Fermion,,BBSB,B0s decays --> Ds+ 1 nu X with Ds+-->K*0 K; K*0-->K- pi+    ; BAST
2 Fermion,,BBSC,B0s decays --> Ds+ 1 nu X with Ds+-->KOs K                  ; BAST
2 Fermion,,BBSD,B decays --> Ds X with Ds-->phi pi; phi-->K+ K-             ; BAST
2 Fermion,,BBSE,B decays -->Ds X with Ds-->K*0 K; K*0-->K- pi+ (92E Gas)    ; BAST
2 Fermion,,BBSF,B decays -->Ds X with Ds+ -->K0s K                      Gas  ;BAST
2 Fermion,,BBSG,ShortDST B0s decays->Ds+l nu X with Ds->Phi pi pio;        ; BAST
2 Fermion,,BBSH,B0s decays -->Ds+ l nu X with Ds-->Phi l X; pji-->K+ K-     ; BAST
4 Fermion,,BBTT,e+e- -> tautaubb EXCALIBUR 2.01 (PYTHIA 6.125) ch.15150505   SNAK; 
2 Fermion,,BCEL,ShortDST BBbar -> c -> el + X     ; Sim of 91 ANA91F Fix 1 ; BASTA
2 Fermion,,BCMU,ShortDST BBbar -> c -> mu + X     ; Sim of 91 ANA91F Fix 1 ; BASTA
